Symbol  ,Date  ,Close Price  ,Total Traded Quantity  ,Gain,Loss,Average Gain,Average Loss,RS,RSI
HDFCBANK,21-Apr-23,"1,674.60"," 1,00,64,309 ",0,0, -   , -   , -   , -   
HDFCBANK,24-Apr-23,"1,688.15"," 1,78,37,926 ",13.55,0, -   , -   , -   , -   
HDFCBANK,25-Apr-23,"1,664.15"," 2,51,76,534 ",0,24, -   , -   , -   , -   
HDFCBANK,26-Apr-23,"1,671.80"," 1,36,96,375 ",7.65,0, -   , -   , -   , -   
HDFCBANK,27-Apr-23,"1,681.00"," 2,38,95,196 ",9.2,0, -   , -   , -   , -   
HDFCBANK,28-Apr-23,"1,687.60"," 1,39,58,136 ",6.6,0, -   , -   , -   , -   
HDFCBANK,02-May-23,"1,687.25"," 1,61,10,592 ",0,0.35, -   , -   , -   , -   
HDFCBANK,03-May-23,"1,693.15"," 1,47,03,635 ",5.9,0, -   , -   , -   , -   
HDFCBANK,04-May-23,"1,727.80"," 2,84,27,319 ",34.65,0, -   , -   , -   , -   
HDFCBANK,05-May-23,"1,625.65"," 3,13,85,208 ",0,102.15, -   , -   , -   , -   
HDFCBANK,08-May-23,"1,644.45"," 1,86,22,262 ",18.8,0, -   , -   , -   , -   
HDFCBANK,09-May-23,"1,644.50"," 2,18,44,469 ",0.05,0, -   , -   , -   , -   
HDFCBANK,10-May-23,"1,652.10"," 2,31,70,275 ",7.6,0, -   , -   , -   , -   
HDFCBANK,11-May-23,"1,653.20"," 1,78,67,309 ",1.1,0, -   , -   , -   , -   
HDFCBANK,12-May-23,"1,667.80"," 1,12,39,380 ",14.6,0, 8.55 , 9.04 , 0.95 , 49 
HDFCBANK,15-May-23,"1,675.80"," 92,56,130 ",8,0, 8.51 , 8.39 , 1.01 , 50 
HDFCBANK,16-May-23,"1,647.30"," 1,63,61,043 ",0,28.5, 7.90 , 9.83 , 0.80 , 45 
HDFCBANK,17-May-23,"1,638.45"," 1,52,33,434 ",0,8.85, 7.34 , 9.76 , 0.75 , 43 
HDFCBANK,18-May-23,"1,645.00"," 2,48,23,471 ",6.55,0, 7.28 , 9.06 , 0.80 , 45 
HDFCBANK,19-May-23,"1,646.90"," 1,52,30,166 ",1.9,0, 6.90 , 8.41 , 0.82 , 45 
