Date ,Close ,Delta,Delta Base,Tag
24-Apr-23,428, -   , 500 ,Nifty Realty
24-Apr-23,18992.95, -   , 500 ,Nifty Financial Services
24-Apr-23,12893.35, -   , 500 ,Nifty Auto
24-Apr-23,12454.35, -   , 500 ,Nifty Pharma
24-Apr-23,21557.35, -   , 500 ,Nifty Private Bank
24-Apr-23,7352.4, -   , 500 ,Nifty Oil & Gas
24-Apr-23,5703.3, -   , 500 ,Nifty Metal
24-Apr-23,1684.3, -   , 500 ,Nifty Media
24-Apr-23,27013.65, -   , 500 ,Nifty IT
24-Apr-23,7884.15, -   , 500 ,Nifty Healthcare
24-Apr-23,46943.05, -   , 500 ,Nifty FMCG
24-Apr-23,23207.4, -   , 500 ,Nifty Energy
24-Apr-23,24558.8, -   , 500 ,Nifty Con Durable
24-Apr-23,42635.75, -   , 500 ,Nifty Bank
24-Apr-23,3984.2, -   , 500 ,Nifty PSU Banks
25-Apr-23,430.1, 2 , 502 ,Nifty Realty
25-Apr-23,18961.85, (31), 469 ,Nifty Financial Services
25-Apr-23,12904.55, 11 , 511 ,Nifty Auto
25-Apr-23,12456.6, 2 , 502 ,Nifty Pharma
25-Apr-23,21582.25, 25 , 525 ,Nifty Private Bank
25-Apr-23,7404.7, 52 , 552 ,Nifty Oil & Gas
25-Apr-23,5738.25, 35 , 535 ,Nifty Metal
25-Apr-23,1672.25,-12, 488 ,Nifty Media
25-Apr-23,26985.8, (28), 472 ,Nifty IT
25-Apr-23,7874.4, (10), 490 ,Nifty Healthcare
25-Apr-23,47051.85, 109 , 609 ,Nifty FMCG
25-Apr-23,23385.75, 178 , 678 ,Nifty Energy
25-Apr-23,24265.9, (293), 207 ,Nifty Con Durable
25-Apr-23,42678.5,42.75, 543 ,Nifty Bank
25-Apr-23,4036.35, 52 , 552 ,Nifty PSU Banks
26-Apr-23,435.95, 8 , 508 ,Nifty Realty
26-Apr-23,19003, 10 , 510 ,Nifty Financial Services
26-Apr-23,12972.75, 68 , 568 ,Nifty Auto
26-Apr-23,12457.85, 4 , 504 ,Nifty Pharma
26-Apr-23,21681.25, 124 , 624 ,Nifty Private Bank
26-Apr-23,7402.35, 50 , 550 ,Nifty Oil & Gas
26-Apr-23,5713.2, 10 , 510 ,Nifty Metal
26-Apr-23,1675.5,-9, 491 ,Nifty Media
26-Apr-23,27065, 51 , 551 ,Nifty IT
26-Apr-23,7871.8, (12), 488 ,Nifty Healthcare
26-Apr-23,47387.5, 444 , 944 ,Nifty FMCG
26-Apr-23,23365.8, 158 , 658 ,Nifty Energy
26-Apr-23,24273.95, (285), 215 ,Nifty Con Durable
26-Apr-23,42829.9,194.15, 694 ,Nifty Bank
26-Apr-23,4057.45, 73 , 573 ,Nifty PSU Banks
27-Apr-23,442.6, 15 , 515 ,Nifty Realty
27-Apr-23,19097.15, 104 , 604 ,Nifty Financial Services
27-Apr-23,13071.8, 99 , 599 ,Nifty Auto
27-Apr-23,12519.35, 65 , 565 ,Nifty Pharma
27-Apr-23,21812.25, 255 , 755 ,Nifty Private Bank
27-Apr-23,7428.2, 76 , 576 ,Nifty Oil & Gas
27-Apr-23,5753.75, 50 , 550 ,Nifty Metal
27-Apr-23,1684.35,0, 500 ,Nifty Media
27-Apr-23,27355.25, 342 , 842 ,Nifty IT
27-Apr-23,7927.15, 43 , 543 ,Nifty Healthcare
27-Apr-23,47360.15, 417 , 917 ,Nifty FMCG
27-Apr-23,23443.65, 236 , 736 ,Nifty Energy
27-Apr-23,24351.7, (207), 293 ,Nifty Con Durable
27-Apr-23,43000.85,365.1, 865 ,Nifty Bank
27-Apr-23,4068, 84 , 584 ,Nifty PSU Banks
28-Apr-23,445.1, 17 , 517 ,Nifty Realty
28-Apr-23,19162.55, 170 , 670 ,Nifty Financial Services
